+--------+------------------------------------------------------------------------------------------------------+---------------------+---------------------+
| codigo | localidade                                                                                           | created_at          | updated_at          |
|    144 | 2. Secretaria da Infância e Juventude                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     15 | 2. Secretaria de Entorpecentes                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     88 | 2. Secretaria do Júri                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     18 | 2. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    258 | 2. Vara Cível de São José de Ribamar                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     19 | 2. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    261 | 2. Vara Criminal de São José de Ribamar                                                              | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     20 | 2. Vara da Família                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     21 | 2. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    143 | 2. Vara da Infância e Juventude                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     12 | 2. Vara de Entorpecentes                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    145 | 2. Vara de Execuções Penais                                                                          | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    264 | 2. Vara de Paço do Lumiar                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    100 | 2. Vara do Júri                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    286 | 2.Vara Especial Violência Doméstica e Familiar contra Mulher                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    180 | 3. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    177 | 3. Juizado Especial Criminal                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     22 | 3. Secretaria Cível                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     23 | 3. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     24 | 3. Secretaria da Família                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     25 | 3. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    170 | 3. Secretaria do Júri                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     26 | 3. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    259 | 3. Vara Cível de São José de Ribamar                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     27 | 3. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     28 | 3. Vara da Família                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     29 | 3. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    298 | 3. Vara de Paço do Lumiar                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    172 | 3. Vara do Júri                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    181 | 4. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     30 | 4. Secretaria Cível                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     31 | 4. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     32 | 4. Secretaria da Família                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     33 | 4. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    171 | 4. Secretaria do Júri                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     34 | 4. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     35 | 4. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     36 | 4. Vara da Família                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     37 | 4. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    173 | 4. Vara do Júri                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    182 | 5. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     38 | 5. Secretaria Cível                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     39 | 5. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     40 | 5. Secretaria da Família                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     41 | 5. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     42 | 5. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     43 | 5. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     44 | 5. Vara da Família                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     45 | 5. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    183 | 6. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     46 | 6. Secretaria Cível                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     47 | 6. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     95 | 6. Secretaria da Família                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     48 | 6. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     49 | 6. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     50 | 6. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     96 | 6. Vara da Família                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     51 | 6. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    184 | 7. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     52 | 7. Secretaria Cível                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     53 | 7. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     98 | 7. Secretaria da Família                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     54 | 7. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     55 | 7. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     56 | 7. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     99 | 7. Vara da Família                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     57 | 7. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    185 | 8. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     58 | 8. Secretaria Cível                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     59 | 8. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     60 | 8. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     61 | 8. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     62 | 8. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     63 | 8. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
